beta_embed,n_impressions,AUC,MRR,nDCG@5,nDCG@10
1.0,431517,0.6273633716156231,0.3341742133825807,0.31051108527108456,0.36925984910231213
0.95,431517,0.6281962918799329,0.3343177558282413,0.31059201299543254,0.36973226392208425
0.9,431517,0.6286386705381215,0.3344442183444916,0.31076589342621247,0.36995280070117786
0.85,431517,0.6288370016951317,0.334406513889874,0.3108226794363111,0.3699188575235091
0.8,431517,0.628743246035084,0.33416103071364883,0.3107839482389347,0.36959766767255625
0.7,431517,0.6277023407176907,0.33299918428157993,0.3099781946886501,0.36834793614378064
0.6,431517,0.625890485395306,0.3313108650401458,0.30874379282239867,0.36647979341770776
0.5,431517,0.6234458347086105,0.32874347805367915,0.3067456377846412,0.363978590594694
