history_cap,decay,n_impressions,AUC,MRR,nDCG@5,nDCG@10
5,0.7,431517,0.5971825428668653,0.30301590082086355,0.2791393296211642,0.33688303864880764
5,0.8,431517,0.60065053458646,0.3062480975351603,0.2822735778688585,0.3400018276140237
5,0.85,431517,0.6017584982423154,0.3072392952380449,0.28336376770065963,0.34099386616074545
5,0.9,431517,0.6026090918349539,0.30804482648379666,0.2842517485460454,0.34179613458673325
5,0.95,431517,0.6033025448905021,0.3086872177045076,0.2848967536243724,0.3424159205946305
5,1.0,431517,0.6035044278783505,0.30887383793044465,0.2851703189341095,0.34254183003266786
10,0.7,431517,0.6043334762240261,0.30817151983656327,0.2845027143088167,0.34228775049065263
10,0.8,431517,0.6118630173854932,0.3145546462712647,0.2912441287516028,0.3487094210791988
10,0.85,431517,0.6148468382056128,0.3172679325585206,0.2941101604946425,0.3514296939484099
10,0.9,431517,0.6170115952956261,0.3193713861455155,0.29623114133304496,0.35343652403496434
10,0.95,431517,0.6184285202459302,0.3207769364351877,0.2975856190989203,0.3547263890855192
10,1.0,431517,0.618899820880756,0.32121891376242934,0.2980282770636922,0.35511368199634724
15,0.7,431517,0.6052431318388464,0.3087678083351781,0.2851890091904228,0.3429258630007026
15,0.8,431517,0.614379961786196,0.3165325152920086,0.2933614264701349,0.35080984155112255
15,0.85,431517,0.6183915469655757,0.3202251710833319,0.2971921727306624,0.35445684003170874
15,0.9,431517,0.6218076952914439,0.32332864347662965,0.30027592712424644,0.35749151569822585
15,0.95,431517,0.6240905473074064,0.32536362814191494,0.3023573145160244,0.3595421109348956
15,1.0,431517,0.6247564645484175,0.3259785179616106,0.30290617199781383,0.36006967846138316
20,0.7,431517,0.6053808854237178,0.30888992067818444,0.2852852096718534,0.34304354167453255
20,0.8,431517,0.6150020300032304,0.3169915429492133,0.2938436468393042,0.351272263667023
20,0.85,431517,0.6196370888996474,0.3211753704666165,0.2981176484803274,0.3554417556710513
20,0.9,431517,0.6237029752967107,0.32481171692989746,0.30183241654433296,0.35903308233806747
20,0.95,431517,0.626565151007589,0.3273997475289043,0.30440594355513756,0.36163398806138575
20,1.0,431517,0.6273670601785529,0.3280113288605648,0.30498887959582777,0.36217611382685433
30,0.7,431517,0.6053965990346342,0.30890195307171725,0.2852923032439195,0.3430564028228099
30,0.8,431517,0.6152379745321741,0.3172174018377338,0.2940378907079538,0.35150540071891695
30,0.85,431517,0.6203177657721584,0.32178574329220605,0.2987443986686294,0.35605751271833447
30,0.9,431517,0.6250664957290705,0.32596211914198103,0.3028759160663806,0.3602060786926371
30,0.95,431517,0.6287720114652938,0.32916570039706017,0.30621657406468805,0.3634038776268375
30,1.0,431517,0.6299861648660269,0.3302086897746616,0.3073536738806087,0.36452258515191766
50,0.7,431517,0.6053971248281889,0.30890139416394224,0.28529311705687543,0.34305590593717655
50,0.8,431517,0.615254502664433,0.3172519250465121,0.29405976095769837,0.35153000541617496
50,0.85,431517,0.6204366758011701,0.32188572750975064,0.29886475825156456,0.3561518097905541
50,0.9,431517,0.6254830132341592,0.3262810921458615,0.3032129015429953,0.36053847907284836
50,0.95,431517,0.6298465658948482,0.32993454177698234,0.30712262914192506,0.3643615611260313
50,1.0,431517,0.631858301041221,0.33167788246156477,0.3090048436373151,0.3660459421321301
