model,history_cap,n_impressions,AUC,MRR,nDCG@5,nDCG@10
mpnet,10,420124,0.6292887748508768,0.33553123118816225,0.31209793202224057,0.37032208977168324
mpnet,20,420124,0.6377165150517623,0.341941350114331,0.3187393772786271,0.37690305862533785
mpnet,30,420124,0.6401592180449952,0.34409760179188276,0.32090526245950635,0.37912098130174543
mpnet,50,420124,0.6417230237903904,0.34534119232526483,0.3222836251881671,0.3804001577298974
mpnet,75,420124,0.6421609430630971,0.3456030833932875,0.32258238374556797,0.38069184699627073
mpnet,100,420124,0.6423077002812212,0.3458124660570498,0.32269180103593664,0.38083043359493285
