model,history_cap,beta_embed,n_impressions,AUC,MRR,nDCG@5,nDCG@10
mpnet,50,1.0,431517,0.6379540939890899,0.3423859185564321,0.3192966467038644,0.37744030427946845
mpnet,50,0.95,431517,0.639837992263196,0.34476689448969655,0.32159108893480876,0.37956276018199714
mpnet,50,0.9,431517,0.6413191024556482,0.3469517092131571,0.3234933070209863,0.38142968878234645
mpnet,50,0.85,431517,0.642491147871317,0.34882484476362313,0.3251819886307994,0.38298759848095326
mpnet,50,0.8,431517,0.6431013984934811,0.34994848916357235,0.3262668982194527,0.38386871273595885
mpnet,50,0.7,431517,0.6426265243661088,0.3500329145351666,0.32585263124548824,0.3837775731587461
mpnet,50,0.6,431517,0.6399675336242773,0.3466136548146549,0.3222669433335708,0.3804005060179893
mpnet,50,0.5,431517,0.6354101046598521,0.3413768353554306,0.3167394937012285,0.3751556854637056
